Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
395882898,1303,cuModuleGetLoadingMode,0,1,169841,169841,0,MPI Rank 0
564409316,392296633,cudaHostRegister,0,126,169841,169841,0,MPI Rank 0
959722005,1507723,cudaHostRegister,0,127,169841,169841,0,MPI Rank 0
1039009537,1793,cuGetProcAddress_v2,0,155,169841,169841,0,MPI Rank 0
1039013564,712,cuGetProcAddress_v2,0,156,169841,169841,0,MPI Rank 0
1039014516,160,cuGetProcAddress_v2,0,157,169841,169841,0,MPI Rank 0
1039014807,541,cuGetProcAddress_v2,0,158,169841,169841,0,MPI Rank 0
1039015568,421,cuGetProcAddress_v2,0,159,169841,169841,0,MPI Rank 0
1039016109,431,cuGetProcAddress_v2,0,160,169841,169841,0,MPI Rank 0
1039016770,571,cuGetProcAddress_v2,0,161,169841,169841,0,MPI Rank 0
1039019014,652,cuGetProcAddress_v2,0,162,169841,169841,0,MPI Rank 0
1039019866,411,cuGetProcAddress_v2,0,163,169841,169841,0,MPI Rank 0
1039020497,431,cuGetProcAddress_v2,0,164,169841,169841,0,MPI Rank 0
1039021068,481,cuGetProcAddress_v2,0,165,169841,169841,0,MPI Rank 0
1039021669,421,cuGetProcAddress_v2,0,166,169841,169841,0,MPI Rank 0
1039024034,471,cuGetProcAddress_v2,0,167,169841,169841,0,MPI Rank 0
1039024625,2334,cuGetProcAddress_v2,0,168,169841,169841,0,MPI Rank 0
1039027200,1813,cuGetProcAddress_v2,0,169,169841,169841,0,MPI Rank 0
1039029163,351,cuGetProcAddress_v2,0,170,169841,169841,0,MPI Rank 0
1039029674,411,cuGetProcAddress_v2,0,171,169841,169841,0,MPI Rank 0
1039030325,481,cuGetProcAddress_v2,0,172,169841,169841,0,MPI Rank 0
1039030917,350,cuGetProcAddress_v2,0,173,169841,169841,0,MPI Rank 0
1039031387,361,cuGetProcAddress_v2,0,174,169841,169841,0,MPI Rank 0
1039031969,470,cuGetProcAddress_v2,0,175,169841,169841,0,MPI Rank 0
1039032580,330,cuGetProcAddress_v2,0,176,169841,169841,0,MPI Rank 0
1039033141,831,cuGetProcAddress_v2,0,177,169841,169841,0,MPI Rank 0
1039034093,551,cuGetProcAddress_v2,0,178,169841,169841,0,MPI Rank 0
1039034814,290,cuGetProcAddress_v2,0,179,169841,169841,0,MPI Rank 0
1039035255,561,cuGetProcAddress_v2,0,180,169841,169841,0,MPI Rank 0
1039035936,391,cuGetProcAddress_v2,0,181,169841,169841,0,MPI Rank 0
1039036467,431,cuGetProcAddress_v2,0,182,169841,169841,0,MPI Rank 0
1039037038,361,cuGetProcAddress_v2,0,183,169841,169841,0,MPI Rank 0
1039037529,411,cuGetProcAddress_v2,0,184,169841,169841,0,MPI Rank 0
1039038080,301,cuGetProcAddress_v2,0,185,169841,169841,0,MPI Rank 0
1039038501,290,cuGetProcAddress_v2,0,186,169841,169841,0,MPI Rank 0
1039038952,290,cuGetProcAddress_v2,0,187,169841,169841,0,MPI Rank 0
1039039463,410,cuGetProcAddress_v2,0,188,169841,169841,0,MPI Rank 0
1039040014,300,cuGetProcAddress_v2,0,189,169841,169841,0,MPI Rank 0
1039040454,391,cuGetProcAddress_v2,0,190,169841,169841,0,MPI Rank 0
1039041066,561,cuGetProcAddress_v2,0,191,169841,169841,0,MPI Rank 0
1039041767,200,cuGetProcAddress_v2,0,192,169841,169841,0,MPI Rank 0
1039042188,481,cuGetProcAddress_v2,0,193,169841,169841,0,MPI Rank 0
1039042809,851,cuGetProcAddress_v2,0,194,169841,169841,0,MPI Rank 0
1039043791,330,cuGetProcAddress_v2,0,195,169841,169841,0,MPI Rank 0
1039044342,400,cuGetProcAddress_v2,0,196,169841,169841,0,MPI Rank 0
1039044883,400,cuGetProcAddress_v2,0,197,169841,169841,0,MPI Rank 0
1039045424,400,cuGetProcAddress_v2,0,198,169841,169841,0,MPI Rank 0
1039046045,381,cuGetProcAddress_v2,0,199,169841,169841,0,MPI Rank 0
1039046566,330,cuGetProcAddress_v2,0,200,169841,169841,0,MPI Rank 0
1039047107,431,cuGetProcAddress_v2,0,201,169841,169841,0,MPI Rank 0
1039047668,340,cuGetProcAddress_v2,0,202,169841,169841,0,MPI Rank 0
1039048139,180,cuGetProcAddress_v2,0,203,169841,169841,0,MPI Rank 0
1039048539,421,cuGetProcAddress_v2,0,204,169841,169841,0,MPI Rank 0
1039049101,330,cuGetProcAddress_v2,0,205,169841,169841,0,MPI Rank 0
1039049571,261,cuGetProcAddress_v2,0,206,169841,169841,0,MPI Rank 0
1039050052,391,cuGetProcAddress_v2,0,207,169841,169841,0,MPI Rank 0
1039050563,291,cuGetProcAddress_v2,0,208,169841,169841,0,MPI Rank 0
1039051074,351,cuGetProcAddress_v2,0,209,169841,169841,0,MPI Rank 0
1039051565,261,cuGetProcAddress_v2,0,210,169841,169841,0,MPI Rank 0
1039051976,300,cuGetProcAddress_v2,0,211,169841,169841,0,MPI Rank 0
1039052497,381,cuGetProcAddress_v2,0,212,169841,169841,0,MPI Rank 0
1039053018,280,cuGetProcAddress_v2,0,213,169841,169841,0,MPI Rank 0
1039053419,240,cuGetProcAddress_v2,0,214,169841,169841,0,MPI Rank 0
1039053879,161,cuGetProcAddress_v2,0,215,169841,169841,0,MPI Rank 0
1039054160,331,cuGetProcAddress_v2,0,216,169841,169841,0,MPI Rank 0
1039054711,401,cuGetProcAddress_v2,0,217,169841,169841,0,MPI Rank 0
1039055232,250,cuGetProcAddress_v2,0,218,169841,169841,0,MPI Rank 0
1039055623,230,cuGetProcAddress_v2,0,219,169841,169841,0,MPI Rank 0
1039056074,400,cuGetProcAddress_v2,0,220,169841,169841,0,MPI Rank 0
1039056594,321,cuGetProcAddress_v2,0,221,169841,169841,0,MPI Rank 0
1039057025,251,cuGetProcAddress_v2,0,222,169841,169841,0,MPI Rank 0
1039057496,371,cuGetProcAddress_v2,0,223,169841,169841,0,MPI Rank 0
1039057977,251,cuGetProcAddress_v2,0,224,169841,169841,0,MPI Rank 0
1039058448,321,cuGetProcAddress_v2,0,225,169841,169841,0,MPI Rank 0
1039058879,340,cuGetProcAddress_v2,0,226,169841,169841,0,MPI Rank 0
1039059370,270,cuGetProcAddress_v2,0,227,169841,169841,0,MPI Rank 0
1039059861,290,cuGetProcAddress_v2,0,228,169841,169841,0,MPI Rank 0
1039060271,231,cuGetProcAddress_v2,0,229,169841,169841,0,MPI Rank 0
1039060622,401,cuGetProcAddress_v2,0,230,169841,169841,0,MPI Rank 0
1039061243,391,cuGetProcAddress_v2,0,231,169841,169841,0,MPI Rank 0
1039061754,231,cuGetProcAddress_v2,0,232,169841,169841,0,MPI Rank 0
1039062205,431,cuGetProcAddress_v2,0,233,169841,169841,0,MPI Rank 0
1039062746,441,cuGetProcAddress_v2,0,234,169841,169841,0,MPI Rank 0
1039063317,341,cuGetProcAddress_v2,0,235,169841,169841,0,MPI Rank 0
1039063888,231,cuGetProcAddress_v2,0,236,169841,169841,0,MPI Rank 0
1039064239,150,cuGetProcAddress_v2,0,237,169841,169841,0,MPI Rank 0
1039064509,631,cuGetProcAddress_v2,0,238,169841,169841,0,MPI Rank 0
1039065361,381,cuGetProcAddress_v2,0,239,169841,169841,0,MPI Rank 0
1039067535,170,cuGetProcAddress_v2,0,240,169841,169841,0,MPI Rank 0
1039067936,240,cuGetProcAddress_v2,0,241,169841,169841,0,MPI Rank 0
1039068286,301,cuGetProcAddress_v2,0,242,169841,169841,0,MPI Rank 0
1039068717,261,cuGetProcAddress_v2,0,243,169841,169841,0,MPI Rank 0
1039069198,291,cuGetProcAddress_v2,0,244,169841,169841,0,MPI Rank 0
1039069629,280,cuGetProcAddress_v2,0,245,169841,169841,0,MPI Rank 0
1039070040,280,cuGetProcAddress_v2,0,246,169841,169841,0,MPI Rank 0
1039070530,211,cuGetProcAddress_v2,0,247,169841,169841,0,MPI Rank 0
1039070881,531,cuGetProcAddress_v2,0,248,169841,169841,0,MPI Rank 0
1039071623,290,cuGetProcAddress_v2,0,249,169841,169841,0,MPI Rank 0
1039072053,241,cuGetProcAddress_v2,0,250,169841,169841,0,MPI Rank 0
1039072434,511,cuGetProcAddress_v2,0,251,169841,169841,0,MPI Rank 0
1039073175,321,cuGetProcAddress_v2,0,252,169841,169841,0,MPI Rank 0
1039073626,120,cuGetProcAddress_v2,0,253,169841,169841,0,MPI Rank 0
1039073867,280,cuGetProcAddress_v2,0,254,169841,169841,0,MPI Rank 0
1039074358,140,cuGetProcAddress_v2,0,255,169841,169841,0,MPI Rank 0
1039074638,130,cuGetProcAddress_v2,0,256,169841,169841,0,MPI Rank 0
1039074989,130,cuGetProcAddress_v2,0,257,169841,169841,0,MPI Rank 0
1039075259,251,cuGetProcAddress_v2,0,258,169841,169841,0,MPI Rank 0
1039075650,170,cuGetProcAddress_v2,0,259,169841,169841,0,MPI Rank 0
1039076041,360,cuGetProcAddress_v2,0,260,169841,169841,0,MPI Rank 0
1039076542,140,cuGetProcAddress_v2,0,261,169841,169841,0,MPI Rank 0
1039076822,271,cuGetProcAddress_v2,0,262,169841,169841,0,MPI Rank 0
1039077303,231,cuGetProcAddress_v2,0,263,169841,169841,0,MPI Rank 0
1039077674,200,cuGetProcAddress_v2,0,264,169841,169841,0,MPI Rank 0
1039078095,200,cuGetProcAddress_v2,0,265,169841,169841,0,MPI Rank 0
1039078425,391,cuGetProcAddress_v2,0,266,169841,169841,0,MPI Rank 0
1039078946,181,cuGetProcAddress_v2,0,267,169841,169841,0,MPI Rank 0
1039079337,230,cuGetProcAddress_v2,0,268,169841,169841,0,MPI Rank 0
1039079698,140,cuGetProcAddress_v2,0,269,169841,169841,0,MPI Rank 0
1039079978,221,cuGetProcAddress_v2,0,270,169841,169841,0,MPI Rank 0
1039080719,121,cuGetProcAddress_v2,0,271,169841,169841,0,MPI Rank 0
1039080980,281,cuGetProcAddress_v2,0,272,169841,169841,0,MPI Rank 0
1039081481,290,cuGetProcAddress_v2,0,273,169841,169841,0,MPI Rank 0
1039081912,200,cuGetProcAddress_v2,0,274,169841,169841,0,MPI Rank 0
1039082242,171,cuGetProcAddress_v2,0,275,169841,169841,0,MPI Rank 0
1039082633,210,cuGetProcAddress_v2,0,276,169841,169841,0,MPI Rank 0
1039082974,130,cuGetProcAddress_v2,0,277,169841,169841,0,MPI Rank 0
1039083244,241,cuGetProcAddress_v2,0,278,169841,169841,0,MPI Rank 0
1039083705,311,cuGetProcAddress_v2,0,279,169841,169841,0,MPI Rank 0
1039084146,140,cuGetProcAddress_v2,0,280,169841,169841,0,MPI Rank 0
1039084507,230,cuGetProcAddress_v2,0,281,169841,169841,0,MPI Rank 0
1039084847,291,cuGetProcAddress_v2,0,282,169841,169841,0,MPI Rank 0
1039085268,180,cuGetProcAddress_v2,0,283,169841,169841,0,MPI Rank 0
1039085659,310,cuGetProcAddress_v2,0,284,169841,169841,0,MPI Rank 0
1039086110,130,cuGetProcAddress_v2,0,285,169841,169841,0,MPI Rank 0
1039086380,301,cuGetProcAddress_v2,0,286,169841,169841,0,MPI Rank 0
1039086891,120,cuGetProcAddress_v2,0,287,169841,169841,0,MPI Rank 0
1039087121,261,cuGetProcAddress_v2,0,288,169841,169841,0,MPI Rank 0
1039087592,231,cuGetProcAddress_v2,0,289,169841,169841,0,MPI Rank 0
1039087943,250,cuGetProcAddress_v2,0,290,169841,169841,0,MPI Rank 0
1039088454,170,cuGetProcAddress_v2,0,291,169841,169841,0,MPI Rank 0
1039088845,190,cuGetProcAddress_v2,0,292,169841,169841,0,MPI Rank 0
1039089155,281,cuGetProcAddress_v2,0,293,169841,169841,0,MPI Rank 0
1039089586,401,cuGetProcAddress_v2,0,294,169841,169841,0,MPI Rank 0
1039090197,451,cuGetProcAddress_v2,0,295,169841,169841,0,MPI Rank 0
1039090768,171,cuGetProcAddress_v2,0,296,169841,169841,0,MPI Rank 0
1039091159,431,cuGetProcAddress_v2,0,297,169841,169841,0,MPI Rank 0
1039091710,451,cuGetProcAddress_v2,0,298,169841,169841,0,MPI Rank 0
1039092271,361,cuGetProcAddress_v2,0,299,169841,169841,0,MPI Rank 0
1039092852,241,cuGetProcAddress_v2,0,300,169841,169841,0,MPI Rank 0
1039093213,250,cuGetProcAddress_v2,0,301,169841,169841,0,MPI Rank 0
1039093583,311,cuGetProcAddress_v2,0,302,169841,169841,0,MPI Rank 0
1039094104,401,cuGetProcAddress_v2,0,303,169841,169841,0,MPI Rank 0
1039094625,261,cuGetProcAddress_v2,0,304,169841,169841,0,MPI Rank 0
1039095106,481,cuGetProcAddress_v2,0,305,169841,169841,0,MPI Rank 0
1039095697,642,cuGetProcAddress_v2,0,306,169841,169841,0,MPI Rank 0
1039096449,260,cuGetProcAddress_v2,0,307,169841,169841,0,MPI Rank 0
1039096930,320,cuGetProcAddress_v2,0,308,169841,169841,0,MPI Rank 0
1039097371,340,cuGetProcAddress_v2,0,309,169841,169841,0,MPI Rank 0
1039097831,401,cuGetProcAddress_v2,0,310,169841,169841,0,MPI Rank 0
1039098453,470,cuGetProcAddress_v2,0,311,169841,169841,0,MPI Rank 0
1039099044,210,cuGetProcAddress_v2,0,312,169841,169841,0,MPI Rank 0
1039099464,411,cuGetProcAddress_v2,0,313,169841,169841,0,MPI Rank 0
1039099995,311,cuGetProcAddress_v2,0,314,169841,169841,0,MPI Rank 0
1039100416,261,cuGetProcAddress_v2,0,315,169841,169841,0,MPI Rank 0
1039100907,221,cuGetProcAddress_v2,0,316,169841,169841,0,MPI Rank 0
1039101238,280,cuGetProcAddress_v2,0,317,169841,169841,0,MPI Rank 0
1039103322,320,cuGetProcAddress_v2,0,318,169841,169841,0,MPI Rank 0
1039103793,470,cuGetProcAddress_v2,0,319,169841,169841,0,MPI Rank 0
1039104374,310,cuGetProcAddress_v2,0,320,169841,169841,0,MPI Rank 0
1039104804,241,cuGetProcAddress_v2,0,321,169841,169841,0,MPI Rank 0
1039105175,261,cuGetProcAddress_v2,0,322,169841,169841,0,MPI Rank 0
1039105546,140,cuGetProcAddress_v2,0,323,169841,169841,0,MPI Rank 0
1039106037,390,cuGetProcAddress_v2,0,324,169841,169841,0,MPI Rank 0
