Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
1081218157,2912,1205,,,,,,,,,,"0,541","185670,009",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1081688074,2720,1307,,,,,,,,,,"0,541","198776,439",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1081707722,2559,1311,,,,,,,,,,"0,541","211282,182",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1081733897,2464,1315,,,,,,,,,,"0,262","106389,570",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1081897928,2496,1319,,,,,,,,,,"0,279","111589,736",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1081920488,2496,1323,,,,,,,,,,"0,262","105025,634",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1081937256,2464,1327,,,,,,,,,,"0,262","106389,570",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1082097350,2497,1348,,,,,,,,,,"0,262","104983,429",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1082115719,2495,1352,,,,,,,,,,"0,262","105067,577",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1082134374,2496,1356,,,,,,,,,,"0,262","105025,634",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1082150886,2464,1360,,,,,,,,,,"0,262","106389,570",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1103225701,3009,1379,,,,,,,,,,"0,000","2,659",Device,Pageable,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Device-to-Host]
1104074623,7584,1380,132,1,1,256,1,1,170,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 1)]>(T1, int)"
1104090239,2720,1381,1,1,1,256,1,1,16,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 2)]>(T1, int)"
1133645598,5536,1391,136,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
1134673558,4576,1397,128,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
1134746357,3201,1405,,,,,,,,,,"0,262","81894,310",Device,Device,NVIDIA A100-SXM4-40GB (0),1,,15,[CUDA memcpy Device-to-Device]
1135022867,3392,1408,32,1,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
